Date : 2021-08-20 12:26:30
Directory : c:\Users\Konra\Desktop\Cody\src
Total : 62 files,  7563 codes, 294 comments, 737 blanks, all 8594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\info.js                                     | JavaScript |         16 |          5 |          4 |         25 |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\leaderboard.js                              | JavaScript |         53 |          5 |          8 |         66 |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\ping.js                                     | JavaScript |         16 |          4 |          5 |         25 |
| c:\Users\Konra\Desktop\Cody\src\commands\ℹ️ Information\userinfo.js                                 | JavaScript |         62 |          5 |         10 |         77 |
| c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\courses.js                            | JavaScript |         25 |          0 |          5 |         30 |
| c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\enroll.js                             | JavaScript |        161 |         15 |         26 |        202 |
| c:\Users\Konra\Desktop\Cody\src\commands\🌐 Learn how to Code\resume.js                             | JavaScript |        563 |        141 |         67 |        771 |
| c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\eval.js                                           | JavaScript |         51 |          0 |          8 |         59 |
| c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\gencode.js                                        | JavaScript |         51 |          0 |         14 |         65 |
| c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\leave.js                                          | JavaScript |         27 |          5 |          5 |         37 |
| c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\perms.js                                          | JavaScript |         57 |          0 |         14 |         71 |
| c:\Users\Konra\Desktop\Cody\src\commands\👑 Owner\servers.js                                        | JavaScript |         33 |          5 |          5 |         43 |
| c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\premium.js                                      | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\redeem.js                                       | JavaScript |         62 |          0 |         12 |         74 |
| c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\restart.js                                      | JavaScript |        150 |         20 |         25 |        195 |
| c:\Users\Konra\Desktop\Cody\src\commands\💰 Premium\subscription.js                                 | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\avatar.js                                       | JavaScript |         15 |          7 |          4 |         26 |
| c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\guide.js                                        | JavaScript |         38 |          7 |          5 |         50 |
| c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\invite.js                                       | JavaScript |         19 |          0 |          3 |         22 |
| c:\Users\Konra\Desktop\Cody\src\commands\📚 Utility\support.js                                      | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\db-guide.txt                                              | Django txt |         11 |          0 |          8 |         19 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\index.js                                                  | JavaScript |        665 |         22 |         89 |        776 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\css\404\404.css                                    | CSS        |         51 |          0 |          7 |         58 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\css\dashboard\dashboard.css                        | CSS        |      1,012 |          0 |         90 |      1,102 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\css\style.css                                      | CSS        |        996 |          0 |         63 |      1,059 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\images\dashboard\leaderboard.svg                   | XML        |         23 |          1 |          1 |         25 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\images\dashboard\settings.svg                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\images\dashboard\toggles.svg                       | XML        |         52 |          0 |          0 |         52 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\js\home.js                                         | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\static\js\script.js                                       | JavaScript |         38 |          0 |          5 |         43 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard.ejs                         | HTML       |        170 |          0 |          4 |        174 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard\index.ejs                   | HTML       |        205 |          0 |          8 |        213 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard\leaderboard\leaderboard.ejs | HTML       |        162 |          0 |          8 |        170 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard\me\me.ejs                   | HTML       |        495 |          0 |         14 |        509 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard\settings\settings.ejs       | HTML       |        279 |          0 |         16 |        295 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\dashboard\dashboard\toggles\toggles.ejs         | HTML       |        264 |          0 |          5 |        269 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\index.ejs                                       | HTML       |        177 |          0 |          6 |        183 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\404\404.ejs                               | HTML       |         23 |          0 |          2 |         25 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\500\500.ejs                               | HTML       |         26 |          0 |          2 |         28 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\contact\contact.ejs                       | HTML       |        155 |          0 |          6 |        161 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\error\error.ejs                           | HTML       |         24 |          0 |          2 |         26 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\login\login.ejs                           | HTML       |        130 |          0 |          4 |        134 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\policy\policy.ejs                         | HTML       |        138 |          0 |          3 |        141 |
| c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\status\status.ejs                         | HTML       |        147 |          0 |          6 |        153 |
| c:\Users\Konra\Desktop\Cody\src\database\mongoose.js                                                | JavaScript |         25 |          0 |          7 |         32 |
| c:\Users\Konra\Desktop\Cody\src\database\schemas\Code.js                                            | JavaScript |         16 |          0 |          5 |         21 |
| c:\Users\Konra\Desktop\Cody\src\database\schemas\Guild.js                                           | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\Konra\Desktop\Cody\src\database\schemas\User.js                                            | JavaScript |         55 |          0 |          5 |         60 |
| c:\Users\Konra\Desktop\Cody\src\events\guildCreate.js                                               | JavaScript |          0 |         41 |          0 |         41 |
| c:\Users\Konra\Desktop\Cody\src\events\message.js                                                   | JavaScript |         66 |          0 |          8 |         74 |
| c:\Users\Konra\Desktop\Cody\src\events\ready.js                                                     | JavaScript |         16 |          0 |          8 |         24 |
| c:\Users\Konra\Desktop\Cody\src\handlers\command.js                                                 | JavaScript |         41 |          0 |          4 |         45 |
| c:\Users\Konra\Desktop\Cody\src\handlers\premium.js                                                 | JavaScript |         21 |          0 |          3 |         24 |
| c:\Users\Konra\Desktop\Cody\src\index.js                                                            | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\Konra\Desktop\Cody\src\questions\courses.json                                              | JSON       |         12 |          0 |          2 |         14 |
| c:\Users\Konra\Desktop\Cody\src\questions\how-to-use.txt                                            | Django txt |         41 |          0 |         29 |         70 |
| c:\Users\Konra\Desktop\Cody\src\questions\javascript.json                                           | JSON       |        217 |          0 |         21 |        238 |
| c:\Users\Konra\Desktop\Cody\src\questions\python.json                                               | JSON       |        171 |          0 |         16 |        187 |
| c:\Users\Konra\Desktop\Cody\src\questions\question-guide.txt                                        | Django txt |         41 |          0 |         29 |         70 |
| Total                                                                                               |            |      7,563 |        294 |        737 |      8,594 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
